timestamp,filename,method,attack,psnr,extraction_accuracy
2025-05-21T12:45:53.795903,cameraman.tif,PEE(T=1),Gaussian (σ=10),28.29582469,50.10752688
2025-05-21T12:45:53.816600,cameraman.tif,PEE(T=1),Salt & Pepper (2%),22.15106829,47.74193548
2025-05-21T12:45:53.832651,cameraman.tif,PEE(T=1),JPEG (Q=70),41.12862666,49.78494624
2025-05-21T12:45:53.894024,cameraman.tif,PEE(T=1),Median Filter (3x3),36.72030342,51.82795699
2025-05-21T12:45:55.132872,cameraman.tif,HS,Gaussian (σ=10),28.28934566,50.10752688
2025-05-21T12:45:55.561272,cameraman.tif,HS,Salt & Pepper (2%),22.15507977,47.04301075
2025-05-21T12:45:55.930258,cameraman.tif,HS,JPEG (Q=70),41.12815753,50.64516129
2025-05-21T12:45:56.358109,cameraman.tif,HS,Median Filter (3x3),36.72115836,50.10752688
2025-05-21T12:45:56.427048,cameraman.tif,ML(T=3),Gaussian (σ=10),28.27647613,51.55913978
2025-05-21T12:45:56.443977,cameraman.tif,ML(T=3),Salt & Pepper (2%),22.09287331,53.76344086
2025-05-21T12:45:56.463632,cameraman.tif,ML(T=3),JPEG (Q=70),41.0759757,48.49462366
2025-05-21T12:45:56.530197,cameraman.tif,ML(T=3),Median Filter (3x3),36.67499381,48.38709677
2025-05-21T12:57:18.322559,cameraman.tif,PEE(T=1),Gaussian (σ=10),28.28687115,48.90625
2025-05-21T12:57:18.965584,cameraman.tif,HS,Gaussian (σ=10),28.28157885,49.296875
2025-05-21T12:57:19.011087,cameraman.tif,ML(T=3),Gaussian (σ=10),28.28152276,49.296875
2025-05-21T12:57:19.269577,cameraman.tif,PEE(T=1),Salt & Pepper (2%),22.07663672,62.34375
2025-05-21T12:57:19.917958,cameraman.tif,HS,Salt & Pepper (2%),22.15767305,51.40625
2025-05-21T12:57:19.939937,cameraman.tif,ML(T=3),Salt & Pepper (2%),21.98405952,47.34375
2025-05-21T12:57:20.178305,cameraman.tif,PEE(T=1),JPEG (Q=70),41.13251378,49.296875
2025-05-21T12:57:20.893269,cameraman.tif,HS,JPEG (Q=70),41.13239143,50.078125
2025-05-21T12:57:20.936299,cameraman.tif,ML(T=3),JPEG (Q=70),41.10847346,50.78125
2025-05-21T12:57:21.258403,cameraman.tif,PEE(T=1),Median Filter (3x3),36.72340068,51.40625
2025-05-21T12:57:22.071497,cameraman.tif,HS,Median Filter (3x3),36.72240754,48.828125
2025-05-21T12:57:22.141114,cameraman.tif,ML(T=3),Median Filter (3x3),36.70286423,48.828125
2025-05-21T12:58:48.122974,woman_blonde.tif,PEE(T=1),Gaussian (σ=10),28.12487468,49.765625
2025-05-21T12:58:48.541136,woman_blonde.tif,HS,Gaussian (σ=10),28.12322667,50.15625
2025-05-21T12:58:48.621742,woman_blonde.tif,ML(T=2),Gaussian (σ=10),28.12365238,49.921875
2025-05-21T12:58:48.980768,woman_blonde.tif,PEE(T=1),Salt & Pepper (2%),22.58052781,50.234375
2025-05-21T12:58:49.439158,woman_blonde.tif,HS,Salt & Pepper (2%),22.52801097,61.640625
2025-05-21T12:58:49.478430,woman_blonde.tif,ML(T=2),Salt & Pepper (2%),22.5890884,43.515625
2025-05-21T12:58:49.851607,woman_blonde.tif,PEE(T=1),JPEG (Q=70),34.50539989,48.90625
2025-05-21T12:58:50.268775,woman_blonde.tif,HS,JPEG (Q=70),34.5019948,50.703125
2025-05-21T12:58:50.302114,woman_blonde.tif,ML(T=2),JPEG (Q=70),34.50200988,51.328125
2025-05-21T12:58:50.629676,woman_blonde.tif,PEE(T=1),Median Filter (3x3),31.05736887,50.390625
2025-05-21T12:58:51.116438,woman_blonde.tif,HS,Median Filter (3x3),31.04741765,51.09375
2025-05-21T12:58:51.198943,woman_blonde.tif,ML(T=2),Median Filter (3x3),31.05318537,50.46875
2025-05-21T12:59:49.302617,test_image2.jpg,PEE(T=1),Gaussian (σ=10),28.31325852,49.6875
2025-05-21T12:59:52.663167,test_image2.jpg,HS,Gaussian (σ=10),28.3096801,50.46875
2025-05-21T12:59:52.795334,test_image2.jpg,ML(T=3),Gaussian (σ=10),28.31066744,50.15625
2025-05-21T12:59:53.086313,test_image2.jpg,PEE(T=1),Salt & Pepper (2%),21.60646542,48.515625
2025-05-21T12:59:56.751650,test_image2.jpg,HS,Salt & Pepper (2%),21.64035703,50.078125
2025-05-21T12:59:56.829355,test_image2.jpg,ML(T=3),Salt & Pepper (2%),21.57570553,42.8125
2025-05-21T12:59:57.183810,test_image2.jpg,PEE(T=1),JPEG (Q=70),45.91894549,52.265625
2025-05-21T13:00:01.178218,test_image2.jpg,HS,JPEG (Q=70),45.91915705,50.078125
2025-05-21T13:00:01.252766,test_image2.jpg,ML(T=3),JPEG (Q=70),45.90774519,48.203125
2025-05-21T13:00:01.655409,test_image2.jpg,PEE(T=1),Median Filter (3x3),48.44569659,49.84375
2025-05-21T13:00:05.549783,test_image2.jpg,HS,Median Filter (3x3),48.45762531,50.703125
2025-05-21T13:00:05.707919,test_image2.jpg,ML(T=3),Median Filter (3x3),48.38786645,50.078125
2025-05-21T13:00:19.109009,test_image2.jpg,PEE(T=1),Gaussian (σ=10),28.30500375,50.9375
2025-05-21T13:00:22.550572,test_image2.jpg,HS,Gaussian (σ=10),28.30119659,50.390625
2025-05-21T13:00:22.693883,test_image2.jpg,ML(T=3),Gaussian (σ=10),28.31085307,50.625
2025-05-21T13:00:22.976397,test_image2.jpg,PEE(T=1),Salt & Pepper (2%),21.6225557,63.359375
2025-05-21T13:00:26.438175,test_image2.jpg,HS,Salt & Pepper (2%),21.66170545,48.046875
2025-05-21T13:00:26.508008,test_image2.jpg,ML(T=3),Salt & Pepper (2%),21.67743478,68.125
2025-05-21T13:00:26.810782,test_image2.jpg,PEE(T=1),JPEG (Q=70),45.91894549,52.265625
2025-05-21T13:00:30.272044,test_image2.jpg,HS,JPEG (Q=70),45.91915705,50.078125
2025-05-21T13:00:30.352121,test_image2.jpg,ML(T=3),JPEG (Q=70),45.90774519,48.203125
2025-05-21T13:00:30.743814,test_image2.jpg,PEE(T=1),Median Filter (3x3),48.44569659,49.84375
2025-05-21T13:00:34.938151,test_image2.jpg,HS,Median Filter (3x3),48.45762531,50.703125
2025-05-21T13:00:35.111882,test_image2.jpg,ML(T=3),Median Filter (3x3),48.38786645,50.078125
2025-05-21T13:08:45.131370,cameraman.tif,PEE(T=1),Gaussian (σ=10),28.29415681,51.85546875
2025-05-21T13:08:45.702801,cameraman.tif,HS,Gaussian (σ=10),28.28739668,50.9765625
2025-05-21T13:08:45.733966,cameraman.tif,ML(T=3),Gaussian (σ=10),28.28866561,52.734375
2025-05-21T13:08:45.924032,cameraman.tif,PEE(T=1),Salt & Pepper (2%),22.02669721,60.546875
2025-05-21T13:08:46.518166,cameraman.tif,HS,Salt & Pepper (2%),22.12138678,55.37109375
2025-05-21T13:08:46.542637,cameraman.tif,ML(T=3),Salt & Pepper (2%),22.08328866,52.83203125
2025-05-21T13:08:46.757448,cameraman.tif,PEE(T=1),JPEG (Q=70),41.13432301,47.8515625
2025-05-21T13:08:47.316483,cameraman.tif,HS,JPEG (Q=70),41.13404513,50.09765625
2025-05-21T13:08:47.343764,cameraman.tif,ML(T=3),JPEG (Q=70),41.11344209,51.5625
2025-05-21T13:08:47.586662,cameraman.tif,PEE(T=1),Median Filter (3x3),36.72425383,50.87890625
2025-05-21T13:08:48.125595,cameraman.tif,HS,Median Filter (3x3),36.72306641,48.53515625
2025-05-21T13:08:48.177510,cameraman.tif,ML(T=3),Median Filter (3x3),36.70699933,48.92578125
2025-05-21T13:10:10.513596,test_image2.jpg,PEE(T=1),Gaussian (σ=10),28.31120872,49.609375
2025-05-21T13:10:16.389766,test_image2.jpg,HS,Gaussian (σ=10),28.31363942,51.66015625
2025-05-21T13:10:16.687432,test_image2.jpg,ML(T=3),Gaussian (σ=10),28.30993799,50.68359375
2025-05-21T13:10:17.172434,test_image2.jpg,PEE(T=1),Salt & Pepper (2%),21.64609941,74.51171875
2025-05-21T13:10:24.101154,test_image2.jpg,HS,Salt & Pepper (2%),21.68132571,52.83203125
2025-05-21T13:10:24.209448,test_image2.jpg,ML(T=3),Salt & Pepper (2%),21.63496866,51.46484375
2025-05-21T13:10:24.650783,test_image2.jpg,PEE(T=1),JPEG (Q=70),45.91967728,47.16796875
2025-05-21T13:10:31.425493,test_image2.jpg,HS,JPEG (Q=70),45.91952543,50.09765625
2025-05-21T13:10:31.513946,test_image2.jpg,ML(T=3),JPEG (Q=70),45.91033266,46.19140625
2025-05-21T13:10:32.084451,test_image2.jpg,PEE(T=1),Median Filter (3x3),48.44779456,50.29296875
2025-05-21T13:10:38.729667,test_image2.jpg,HS,Median Filter (3x3),48.45858549,50.48828125
2025-05-21T13:10:38.970305,test_image2.jpg,ML(T=3),Median Filter (3x3),48.40054935,49.12109375
2025-05-21T13:12:39.543670,mandril_color.tif,PEE(T=1),Gaussian (σ=10),28.12755438,48.046875
2025-05-21T13:12:40.049053,mandril_color.tif,HS,Gaussian (σ=10),28.11905792,47.94921875
2025-05-21T13:12:40.137352,mandril_color.tif,ML(T=3),Gaussian (σ=10),28.13164347,50.78125
2025-05-21T13:12:40.447412,mandril_color.tif,PEE(T=1),Salt & Pepper (2%),22.59998602,35.9375
2025-05-21T13:12:40.982607,mandril_color.tif,HS,Salt & Pepper (2%),22.54270231,57.32421875
2025-05-21T13:12:41.062581,mandril_color.tif,ML(T=3),Salt & Pepper (2%),22.50141201,49.21875
2025-05-21T13:12:41.386396,mandril_color.tif,PEE(T=1),JPEG (Q=70),30.05967966,51.85546875
2025-05-21T13:12:41.891162,mandril_color.tif,HS,JPEG (Q=70),30.05613691,49.0234375
2025-05-21T13:12:42.007267,mandril_color.tif,ML(T=3),JPEG (Q=70),30.05434688,49.8046875
2025-05-21T13:12:42.371914,mandril_color.tif,PEE(T=1),Median Filter (3x3),23.39848915,50.1953125
2025-05-21T13:12:43.006473,mandril_color.tif,HS,Median Filter (3x3),23.36922657,53.7109375
2025-05-21T13:12:43.119556,mandril_color.tif,ML(T=3),Median Filter (3x3),23.36129879,48.53515625
2025-05-21T13:35:52.788790,mandril_color.tif,PEE(T=1),Gaussian (σ=10),28.13413104,48.33984375
2025-05-21T13:35:52.901644,mandril_color.tif,HS,Gaussian (σ=10),28.14953585,53.125
2025-05-21T13:35:52.929547,mandril_color.tif,ML(T=3),Gaussian (σ=10),28.1506195,48.33984375
2025-05-21T13:35:53.048863,mandril_color.tif,PEE(T=1),Salt & Pepper (2%),22.53207716,39.74609375
2025-05-21T13:35:53.148420,mandril_color.tif,HS,Salt & Pepper (2%),22.52477056,41.6015625
2025-05-21T13:35:53.164149,mandril_color.tif,ML(T=3),Salt & Pepper (2%),22.55010314,43.75
2025-05-21T13:35:53.295738,mandril_color.tif,PEE(T=1),JPEG (Q=70),35.12346602,50.29296875
2025-05-21T13:35:53.389019,mandril_color.tif,HS,JPEG (Q=70),35.12752961,50.390625
2025-05-21T13:35:53.396361,mandril_color.tif,ML(T=3),JPEG (Q=70),35.11579703,46.6796875
2025-05-21T13:35:53.529332,mandril_color.tif,PEE(T=1),Median Filter (3x3),30.53515647,50.390625
2025-05-21T13:35:53.647903,mandril_color.tif,HS,Median Filter (3x3),30.53792831,49.21875
2025-05-21T13:35:53.682615,mandril_color.tif,ML(T=3),Median Filter (3x3),30.52951823,48.2421875
2025-05-21T13:36:04.005044,mandril_color.tif,PEE(T=1),Gaussian (σ=10),28.14513384,50.48828125
2025-05-21T13:36:04.125586,mandril_color.tif,HS,Gaussian (σ=10),28.11990047,50.1953125
2025-05-21T13:36:04.159160,mandril_color.tif,ML(T=3),Gaussian (σ=10),28.1455366,49.8046875
2025-05-21T13:36:04.283377,mandril_color.tif,PEE(T=1),Salt & Pepper (2%),22.57569085,51.46484375
2025-05-21T13:36:04.396605,mandril_color.tif,HS,Salt & Pepper (2%),22.5073164,53.02734375
2025-05-21T13:36:04.411865,mandril_color.tif,ML(T=3),Salt & Pepper (2%),22.6231451,48.046875
2025-05-21T13:36:04.563022,mandril_color.tif,PEE(T=1),JPEG (Q=70),35.12346602,50.29296875
2025-05-21T13:36:04.651830,mandril_color.tif,HS,JPEG (Q=70),35.12752961,50.390625
2025-05-21T13:36:04.664933,mandril_color.tif,ML(T=3),JPEG (Q=70),35.11579703,46.6796875
2025-05-21T13:36:04.789295,mandril_color.tif,PEE(T=1),Median Filter (3x3),30.53515647,50.390625
2025-05-21T13:36:04.895951,mandril_color.tif,HS,Median Filter (3x3),30.53792831,49.21875
2025-05-21T13:36:04.928716,mandril_color.tif,ML(T=3),Median Filter (3x3),30.52951823,48.2421875
2025-05-21T13:36:11.361270,livingroom.tif,PEE(T=1),Gaussian (σ=10),28.1388824,50.87890625
2025-05-21T13:36:11.483683,livingroom.tif,HS,Gaussian (σ=10),28.14387924,49.31640625
2025-05-21T13:36:11.511633,livingroom.tif,ML(T=3),Gaussian (σ=10),28.12785204,51.85546875
2025-05-21T13:36:11.617419,livingroom.tif,PEE(T=1),Salt & Pepper (2%),22.62642189,53.80859375
2025-05-21T13:36:11.712879,livingroom.tif,HS,Salt & Pepper (2%),22.56135342,44.53125
2025-05-21T13:36:11.727762,livingroom.tif,ML(T=3),Salt & Pepper (2%),22.53908788,48.4375
2025-05-21T13:36:11.848781,livingroom.tif,PEE(T=1),JPEG (Q=70),35.12346602,50.29296875
2025-05-21T13:36:11.944441,livingroom.tif,HS,JPEG (Q=70),35.12752961,50.390625
2025-05-21T13:36:11.944441,livingroom.tif,ML(T=3),JPEG (Q=70),35.11579703,46.6796875
2025-05-21T13:36:12.077833,livingroom.tif,PEE(T=1),Median Filter (3x3),30.53515647,50.390625
2025-05-21T13:36:12.184634,livingroom.tif,HS,Median Filter (3x3),30.53792831,49.21875
2025-05-21T13:36:12.220014,livingroom.tif,ML(T=3),Median Filter (3x3),30.52951823,48.2421875
2025-05-21T13:36:37.297452,livingroom.tif,PEE(T=1),Gaussian (σ=10),28.15648638,51.26953125
2025-05-21T13:36:37.409642,livingroom.tif,HS,Gaussian (σ=10),28.15961992,50.1953125
2025-05-21T13:36:37.434378,livingroom.tif,ML(T=3),Gaussian (σ=10),28.14401767,50.0
2025-05-21T13:36:37.546216,livingroom.tif,PEE(T=1),Salt & Pepper (2%),22.52530071,53.90625
2025-05-21T13:36:37.629049,livingroom.tif,HS,Salt & Pepper (2%),22.51706794,37.890625
2025-05-21T13:36:37.638350,livingroom.tif,ML(T=3),Salt & Pepper (2%),22.58275466,44.23828125
2025-05-21T13:36:37.765363,livingroom.tif,PEE(T=1),JPEG (Q=70),35.12346602,50.29296875
